date,user_id,variant,channel,segment,step
2025-11-01,u1,control,email,new,impression
2025-11-01,u2,control,email,new,impression
2025-11-01,u2,control,email,new,click
2025-11-01,u3,control,email,new,impression
2025-11-01,u4,control,email,new,impression
2025-11-01,u5,control,email,new,impression
2025-11-01,u5,control,email,new,click
2025-11-01,u5,control,email,new,apply
2025-11-01,u5,control,email,new,approve
2025-11-01,u6,control,email,new,impression
2025-11-01,u7,control,email,new,impression
2025-11-01,u8,control,email,new,impression
2025-11-01,u9,control,email,new,impression
2025-11-01,u10,control,email,new,impression
2025-11-01,u11,control,email,new,impression
2025-11-01,u12,control,email,new,impression
2025-11-01,u13,control,email,new,impression
2025-11-01,u14,control,email,new,impression
2025-11-01,u15,control,email,new,impression
2025-11-01,u16,control,email,new,impression
2025-11-01,u17,control,email,new,impression
2025-11-01,u18,control,email,new,impression
2025-11-01,u19,control,email,new,impression
2025-11-01,u20,control,email,new,impression
2025-11-01,u20,control,email,new,click
2025-11-01,u21,control,email,returning,impression
2025-11-01,u21,control,email,returning,click
2025-11-01,u22,control,email,returning,impression
2025-11-01,u23,control,email,returning,impression
2025-11-01,u24,control,email,returning,impression
2025-11-01,u24,control,email,returning,click
2025-11-01,u25,control,email,returning,impression
2025-11-01,u26,control,email,returning,impression
2025-11-01,u27,control,email,returning,impression
2025-11-01,u28,control,email,returning,impression
2025-11-01,u29,control,email,returning,impression
2025-11-01,u29,control,email,returning,click
2025-11-01,u30,control,email,returning,impression
2025-11-01,u31,control,email,returning,impression
2025-11-01,u32,control,email,returning,impression
2025-11-01,u33,control,email,returning,impression
2025-11-01,u34,control,email,returning,impression
2025-11-01,u35,control,email,returning,impression
2025-11-01,u36,control,email,returning,impression
2025-11-01,u37,control,email,returning,impression
2025-11-01,u38,control,email,returning,impression
2025-11-01,u39,control,email,returning,impression
2025-11-01,u40,control,email,returning,impression
2025-11-01,u41,control,email,returning,impression
2025-11-01,u42,control,push,new,impression
2025-11-01,u43,control,push,new,impression
2025-11-01,u44,control,push,new,impression
2025-11-01,u45,control,push,new,impression
2025-11-01,u46,control,push,new,impression
2025-11-01,u47,control,push,new,impression
2025-11-01,u48,control,push,new,impression
2025-11-01,u49,control,push,new,impression
2025-11-01,u50,control,push,new,impression
2025-11-01,u50,control,push,new,click
2025-11-01,u51,control,push,new,impression
2025-11-01,u52,control,push,new,impression
2025-11-01,u53,control,push,new,impression
2025-11-01,u53,control,push,new,click
2025-11-01,u54,control,push,new,impression
2025-11-01,u55,control,push,new,impression
2025-11-01,u56,control,push,new,impression
2025-11-01,u57,control,push,new,impression
2025-11-01,u58,control,push,new,impression
2025-11-01,u59,control,push,returning,impression
2025-11-01,u60,control,push,returning,impression
2025-11-01,u61,control,push,returning,impression
2025-11-01,u62,control,push,returning,impression
2025-11-01,u63,control,push,returning,impression
2025-11-01,u64,control,push,returning,impression
2025-11-01,u65,control,push,returning,impression
2025-11-01,u66,control,push,returning,impression
2025-11-01,u67,control,push,returning,impression
2025-11-01,u68,control,push,returning,impression
2025-11-01,u69,control,push,returning,impression
2025-11-01,u70,control,push,returning,impression
2025-11-01,u71,control,push,returning,impression
2025-11-01,u72,control,push,returning,impression
2025-11-01,u73,control,push,returning,impression
